ID,Pop,Tank,Salinity,Cross,System,Xcat,Total Fertilized,Total Unfertilized,Total.Eggs,Fertilization.Success,Total.Hatch,Hatching.Success
MDPP-1,PP,1,FW,FW_PP,A,MDPP-1-FW_PP,10,5,15,0.666666667,9,0.9
MDPP-2,PP,2,FW,FW_PP,A,MDPP-2-FW_PP,339,31,370,0.916216216,321,0.95
MDPP-3,PP,3,FW,FW_PP,A,MDPP-3-FW_PP,433,91,524,0.826335878,339,0.78
MDPL-1,PL,4,FW,FW_PL,A,MDPL-1-FW_PL,67,18,85,0.788235294,56,0.84
MDPL-2,PL,5,FW,FW_PL,A,MDPL-2-FW_PL,600,117,717,0.836820084,581,0.97
MDPL-3,PL,13,FW,FW_PL,A,MDPL-3-FW_PL,706,88,794,0.889168766,419,0.59
Combo-1,Combo,8,FW,FW_Combo,A,Combo-1-FW_Combo,213,33,246,0.865853659,176,0.83
Combo-2,Combo,9,FW,FW_Combo,A,Combo-2-FW_Combo,246,18,264,0.931818182,168,0.68
Combo-4,Combo,11,FW,FW_Combo,A,Combo-4-FW_Combo,383,51,434,0.882488479,271,0.71
Combo-5,Combo,12,FW,FW_Combo,A,Combo-5-FW_Combo,463,53,516,0.897286822,346,0.75
MDPP-1,PP,1,BW,BW_PP,B,MDPP-1-BW_PP,399,49,448,0.890625,230,0.58
MDPP-2,PP,2,BW,BW_PP,B,MDPP-2-BW_PP,44,6,50,0.88,30,0.68
MDPP-3,PP,3,BW,BW_PP,B,MDPP-3-BW_PP,94,24,118,0.796610169,65,0.69
MDPL-1,PL,4,BW,BW_PL,B,MDPL-1-BW_PL,64,18,82,0.780487805,40,0.63
MDPL-2,PL,5,BW,BW_PL,B,MDPL-2-BW_PL,359,42,401,0.895261845,264,0.74
MDPL-3,PL,13,BW,BW_PL,B,MDPL-3-BW_PL,49,5,54,0.907407407,34,0.69
Combo-1,Combo,8,BW,BW_Combo,B,Combo-1-BW_Combo,1346,85,1431,0.940600978,868,0.64
Combo-2,Combo,9,BW,BW_Combo,B,Combo-2-BW_Combo,334,17,351,0.951566952,314,0.94
Combo-3,Combo,10,BW,BW_Combo,B,Combo-3-BW_Combo,1210,32,1242,0.974235105,787,0.65
Combo-4,Combo,11,BW,BW_Combo,B,Combo-4-BW_Combo,720,87,807,0.892193309,471,0.65
Combo-5,Combo,12,BW,BW_Combo,B,Combo-5-BW_Combo,128,14,142,0.901408451,99,0.77
