Cross,mother,father,salinity,Replicate,fert,fail
PPxPP,pp,pp,BW,1,81,7
PPxPP,pp,pp,BW,4,4,1
PPxPP,pp,pp,BW,5,50,7
PLxPL,pl,pl,BW,1,510,25
PLxPL,pl,pl,BW,2,137,17
PLxPL,pl,pl,BW,3,101,31
PLxPL,pl,pl,BW,4,521,42
PLxPL,pl,pl,BW,5,300,1
PPmXPLf,pp,pl,BW,1,253,45
PPmXPLf,pp,pl,BW,2,213,24
PPmXPLf,pp,pl,BW,3,341,51
PPmXPLf,pp,pl,BW,4,416,62
PPmXPLf,pp,pl,BW,5,315,38
PLmXPPf,pl,pp,BW,1,144,6
PLmXPPf,pl,pp,BW,2,26,7
PLmXPPf,pl,pp,BW,3,205,18
PLmXPPf,pl,pp,BW,4,7,1
PLmXPPf,pl,pp,BW,5,22,3
PPxPP,pp,pp,FW,1,43,11
PPxPP,pp,pp,FW,3,7,0
PPxPP,pp,pp,FW,5,91,3
PLxPL,pl,pl,FW,1,238,20
PLxPL,pl,pl,FW,2,265,20
PLxPL,pl,pl,FW,3,208,27
PLxPL,pl,pl,FW,4,201,19
PLxPL,pl,pl,FW,5,73,9
PPmXPLf,pp,pl,FW,1,120,31
PPmXPLf,pp,pl,FW,2,12,0
PPmXPLf,pp,pl,FW,3,72,19
PPmXPLf,pp,pl,FW,4,64,12
PPmXPLf,pp,pl,FW,5,51,3
PLmXPPf,pl,pp,FW,1,198,8
PLmXPPf,pl,pp,FW,2,40,3
PLmXPPf,pl,pp,FW,3,75,7
PLmXPPf,pl,pp,FW,4,73,2
PLmXPPf,pl,pp,FW,5,57,4
