Cross,mother,father,salinity,Replicate,hatch,total
PPxPP,pp,pp,BW,1,65,81
PPxPP,pp,pp,BW,4,3,4
PPxPP,pp,pp,BW,5,44,50
PLxPL,pl,pl,BW,1,415,510
PLxPL,pl,pl,BW,2,122,137
PLxPL,pl,pl,BW,3,89,101
PLxPL,pl,pl,BW,4,320,521
PLxPL,pl,pl,BW,5,246,300
PPmXPLf,pp,pl,BW,1,170,253
PPmXPLf,pp,pl,BW,2,193,213
PPmXPLf,pp,pl,BW,3,241,341
PPmXPLf,pp,pl,BW,4,255,416
PPmXPLf,pp,pl,BW,5,249,315
PLmXPPf,pl,pp,BW,1,122,144
PLmXPPf,pl,pp,BW,2,15,26
PLmXPPf,pl,pp,BW,3,157,205
PLmXPPf,pl,pp,BW,4,7,7
PLmXPPf,pl,pp,BW,5,21,22
PPxPP,pp,pp,FW,1,42,43
PPxPP,pp,pp,FW,3,5,7
PPxPP,pp,pp,FW,5,80,91
PLxPL,pl,pl,FW,1,155,238
PLxPL,pl,pl,FW,2,232,265
PLxPL,pl,pl,FW,3,206,208
PLxPL,pl,pl,FW,4,195,201
PLxPL,pl,pl,FW,5,71,73
PPmXPLf,pp,pl,FW,1,119,120
PPmXPLf,pp,pl,FW,2,11,12
PPmXPLf,pp,pl,FW,3,66,72
PPmXPLf,pp,pl,FW,4,49,64
PPmXPLf,pp,pl,FW,5,47,51
PLmXPPf,pl,pp,FW,1,192,198
PLmXPPf,pl,pp,FW,2,35,40
PLmXPPf,pl,pp,FW,3,64,75
PLmXPPf,pl,pp,FW,4,72,73
PLmXPPf,pl,pp,FW,5,43,57
