Tube Num,Tank,Combo,Salinity,Population,Sex,Replicate,Date,Length(cm),Weight(g),
1,Tank 8,Combo1,BW,PL,M,1,5.22.15,7.3,7.6,
2,Tank 8,Combo1,BW,PL,M,2,5.22.15,7.0,7.1,
3,Tank 8,Combo1,BW,PL,M,3,5.22.15,6.5,5.9,
4,Tank 8,Combo1,BW,PL,M,4,5.22.15,6.4,5.6,
5,Tank 8,Combo1,BW,PL,M,5,5.22.15,6.6,5.5,
6,Tank 8,Combo1,BW,PL,F,1,5.22.15,7.1,6.8,
7,Tank 8,Combo1,BW,PL,F,2,5.22.15,6.3,5.3,
8,Tank 8,Combo1,BW,PL,F,3,5.22.15,7.2,7.2,
9,Tank 8,Combo1,BW,PL,F,4,5.22.15,6.9,6.1,
10,Tank 8,Combo1,BW,PL,F,5,5.22.15,6.1,4.9,
11,Tank 8,Combo1,BW,PP,M,1,5.22.15,6.8,6.4,
12,Tank 8,Combo1,BW,PP,M,2,5.22.15,6.9,6.2,
13,Tank 8,Combo1,BW,PP,M,3,5.22.15,6.4,5.2,
14,Tank 8,Combo1,BW,PP,M,4,5.22.15,7.1,7.1,
15,Tank 8,Combo1,BW,PP,M,5,5.22.15,6.2,5.0,
16,Tank 8,Combo1,BW,PP,F,1,5.22.15,7.3,7.4,
17,Tank 8,Combo1,BW,PP,F,2,5.22.15,7.4,6.6,
18,Tank 8,Combo1,BW,PP,F,3,5.22.15,7.3,6.0,
19,Tank 8,Combo1,BW,PP,F,4,5.22.15,6.9,5.5,
20,Tank 8,Combo1,BW,PP,F,5,5.22.15,7.8,10.2,
21,Tank 9,Combo2,BW,PL,M,1,5.22.15,7.0,7.3,
22,Tank 9,Combo2,BW,PL,M,2,5.22.15,6.6,5.0,
23,Tank 9,Combo2,BW,PL,M,3,5.22.15,7.0,7.4,
24,Tank 9,Combo2,BW,PL,M,4,5.22.15,6.7,6.1,
25,Tank 9,Combo2,BW,PL,M,5,5.22.15,6.2,5.1,
26,Tank 9,Combo2,BW,PL,F,1,5.22.15,6.4,5.1,
27,Tank 9,Combo2,BW,PL,F,2,5.22.15,7.3,7.5,
28,Tank 9,Combo2,BW,PL,F,3,5.22.15,7.5,7.6,
29,Tank 9,Combo2,BW,PL,F,4,5.22.15,7.1,7.5,
30,Tank 9,Combo2,BW,PL,F,5,5.22.15,7.0,7.8,
31,Tank 9,Combo2,BW,PP,M,1,5.22.15,6.9,6.5,
32,Tank 9,Combo2,BW,PP,M,2,5.22.15,6.6,6.2,
33,Tank 9,Combo2,BW,PP,M,3,5.22.15,6.4,5.8,
34,Tank 9,Combo2,BW,PP,M,4,5.22.15,6.9,6.4,
35,Tank 9,Combo2,BW,PP,M,5,5.22.15,6.4,8.1,
36,Tank 9,Combo2,BW,PP,F,1,5.22.15,9.1,14.1,
37,Tank 9,Combo2,BW,PP,F,2,5.22.15,7.2,7.8,
38,Tank 9,Combo2,BW,PP,F,3,5.22.15,6.3,4.8,
39,Tank 9,Combo2,BW,PP,F,4,5.22.15,5.9,4.0,
40,Tank 9,Combo2,BW,PP,F,5,5.22.15,7.4,8.2,
41,Tank 10,Combo3,BW,PL,M,1,5.22.15,6.5,6.0,
42,Tank 10,Combo3,BW,PL,M,2,5.22.15,6.3,5.1,
43,Tank 10,Combo3,BW,PL,M,3,5.22.15,6.4,5.1,
44,Tank 10,Combo3,BW,PL,M,4,5.22.15,6.8,7.1,
45,Tank 10,Combo3,BW,PL,M,5,5.22.15,6.9,7.3,
46,Tank 10,Combo3,BW,PL,F,1,5.22.15,6.8,6.3,
