offspring father confidence.x mother confidence.y father_combo mother_combo offspring_combo mother.pop father.pop mother.ind father.ind cross.dir cross
BW-Combo1-001 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-002 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-4 PP-M-4 PPxPP PP-F-4xPP-M-4
BW-Combo1-003 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-5 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-5 PP-M-4 PPxPP PP-F-5xPP-M-4
BW-Combo1-004 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-005 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-006 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-007 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-008 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-009 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-010 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-1 PP-M-4 PLxPP PL-F-1xPP-M-4
BW-Combo1-011 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-012 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-013 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-014 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-015 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-016 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-4 PP-M-4 PPxPP PP-F-4xPP-M-4
BW-Combo1-017 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-018 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-4 PP-M-4 PPxPP PP-F-4xPP-M-4
BW-Combo1-019 BW-Combo1-PL-M-3 95% BW-Combo1-PL-F-3 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PL PL-F-3 PL-M-3 PLxPL PL-F-3xPL-M-3
BW-Combo1-020 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-021 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-1 PPxPL PP-F-2xPL-M-1
BW-Combo1-022 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-023 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-024 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-025 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-026 BW-Combo1-PL-M-4 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-4 PPxPL PP-F-2xPL-M-4
BW-Combo1-027 BW-Combo1-PL-M-5 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-5 PPxPL PP-F-2xPL-M-5
BW-Combo1-028 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-029 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-1 PPxPL PP-F-2xPL-M-1
BW-Combo1-030 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-031 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-032 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-033 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-1 PPxPL PP-F-2xPL-M-1
BW-Combo1-034 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-035 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-4 PP-M-4 PPxPP PP-F-4xPP-M-4
