tank salinity indiv sex pop like unlike like.num unlike.num total
BW-Combo1 BW BW-Combo1-PL-F-4 f PL 0.037037037037037 0.962962962962963 2 52 54
BW-Combo1 BW BW-Combo1-PP-F-4 f PP 1 0 6 0 6
BW-Combo1 BW BW-Combo1-PP-F-5 f PP 0.5 0.5 4 4 8
BW-Combo1 BW BW-Combo1-PP-F-1 f PP 0.298507462686567 0.701492537313433 20 47 67
BW-Combo1 BW BW-Combo1-PP-F-2 f PP 0.298969072164948 0.701030927835051 29 68 97
BW-Combo1 BW BW-Combo1-PL-F-1 f PL 0.133333333333333 0.866666666666667 2 13 15
BW-Combo1 BW BW-Combo1-PL-F-3 f PL 1 0 2 0 2
BW-Combo1 BW BW-Combo1-PL-F-5 f PL 0.5 0.5 1 1 2
BW-Combo1 BW BW-Combo1-PL-F-2 f PL 0.0526315789473684 0.947368421052632 1 18 19
BW-Combo1 BW BW-Combo1-PP-F-3 f PP 1 0 15 0 15
BW-Combo1 BW BW-Combo1-PP-M-4 m PP 0.421052631578947 0.578947368421053 56 77 133
BW-Combo1 BW BW-Combo1-PL-M-2 m PL 0.024390243902439 0.975609756097561 1 40 41
BW-Combo1 BW BW-Combo1-PL-M-3 m PL 0.285714285714286 0.714285714285714 2 5 7
BW-Combo1 BW BW-Combo1-PL-M-1 m PL 0.0434782608695652 0.956521739130435 3 66 69
BW-Combo1 BW BW-Combo1-PL-M-4 m PL 0.5 0.5 2 2 4
BW-Combo1 BW BW-Combo1-PL-M-5 m PL 0 1 0 6 6
BW-Combo1 BW BW-Combo1-PP-M-5 m PP 0.75 0.25 18 6 24
BW-Combo1 BW BW-Combo1-PP-M-2 m PP 0 1 0 1 1
BW-Combo2 BW BW-Combo2-PL-F-4 f PL 0.917808219178082 0.0821917808219178 134 12 146
BW-Combo2 BW BW-Combo2-PP-F-2 f PP 0.929824561403509 0.0701754385964912 53 4 57
BW-Combo2 BW BW-Combo2-PP-F-3 f PP 0.681818181818182 0.318181818181818 15 7 22
BW-Combo2 BW BW-Combo2-PP-F-5 f PP 0.944444444444444 0.0555555555555556 17 1 18
BW-Combo2 BW BW-Combo2-PL-F-2 f PL 0.1 0.9 1 9 10
BW-Combo2 BW BW-Combo2-PP-F-4 f PP 0.166666666666667 0.833333333333333 2 10 12
BW-Combo2 BW BW-Combo2-PL-F-3 f PL 1 0 1 0 1
BW-Combo2 BW BW-Combo2-PL-M-1 m PL 0.875 0.125 91 13 104
BW-Combo2 BW BW-Combo2-PP-M-3 m PP 0.75 0.25 3 1 4
BW-Combo2 BW BW-Combo2-PP-M-1 m PP 0.949152542372881 0.0508474576271186 56 3 59
BW-Combo2 BW BW-Combo2-PL-M-3 m PL 1 0 20 0 20
BW-Combo2 BW BW-Combo2-PP-M-5 m PP 0.585365853658537 0.414634146341463 24 17 41
BW-Combo2 BW BW-Combo2-PP-M-2 m PP 1 0 4 0 4
BW-Combo2 BW BW-Combo2-PL-M-5 m PL 0 1 0 8 8
BW-Combo2 BW BW-Combo2-PL-M-4 m PL 0.961538461538462 0.0384615384615385 25 1 26
BW-Combo3 BW BW-Combo3-PL-F-4 f PL 1 0 48 0 48
BW-Combo3 BW BW-Combo3-PL-F-3 f PL 1 0 106 0 106
BW-Combo3 BW BW-Combo3-PP-F-3 f PP 0 1 0 57 57
BW-Combo3 BW BW-Combo3-PL-F-2 f PL 0.71830985915493 0.28169014084507 51 20 71
BW-Combo3 BW BW-Combo3-PP-F-2 f PP 0.0256410256410256 0.974358974358974 1 38 39
BW-Combo3 BW BW-Combo3-PL-F-1 f PL 1 0 6 0 6
BW-Combo3 BW BW-Combo3-PP-F-1 f PP 0 1 0 3 3
BW-Combo3 BW BW-Combo3-PP-F-5 f PP 0 1 0 3 3
BW-Combo3 BW BW-Combo3-PL-F-5 f PL 1 0 1 0 1
BW-Combo3 BW BW-Combo3-PL-M-5 m PL 0.565217391304348 0.434782608695652 13 10 23
BW-Combo3 BW BW-Combo3-PL-M-2 m PL 0.715083798882682 0.284916201117318 128 51 179
BW-Combo3 BW BW-Combo3-PL-M-3 m PL 0.615384615384615 0.384615384615385 64 40 104
BW-Combo3 BW BW-Combo3-PL-M-4 m PL 1 0 3 0 3
BW-Combo3 BW BW-Combo3-PP-M-1 m PP 0 1 0 3 3
BW-Combo3 BW BW-Combo3-PP-M-4 m PP 0 1 0 11 11
BW-Combo3 BW BW-Combo3-PL-M-1 m PL 1 0 4 0 4
